Player,Team,Country
Edwill Van Der Merwe,STO,SA
Craig Barry,STO,SA
David Meihuizen,STO,SA
Chris Massyn,STO,SA
EW Viljoen,STO,SA
Ryota Hasegawa,SUN,JP
Takuya Kitade,SUN,JP
Masakatsu Nishikawa,SUN,JP
Akihito Yamada,SUN,JP
Francisco Gorrisen,JAG,ARG
Zee Mkhabela,SHA,SA
Shambeckler Vui,WAR,AUS
Tautalatasi Tasi,WAR,AUS
Santiago Socino,JAG,ARG
Shogo Miura,SUN,JP
Jonah Lowe,HUR,NZ
Hisa Sasagi,BLU,NZ
Cullen Collopy,SHA,SA
