Team,Position,Name
HUR,Flank,Sam Henwood
BLU,Scrumhalf,Sam Nock
SUN,Loosehead Prop,Sam Prattley
REB,Tighthead Prop,Sam Talakai
CRU,Lock,Sam Whitelock
CHI,Hooker,Samisoni Taukei'aho
RED,Centre,Samu Kerevi
JAG,Wing,Santiago Carreras
JAG,Loosehead Prop,Santiago Garcia Botta
JAG,Flyhalf,Santiago Gonzalez Iglesias
JAG,Tighthead Prop,Santiago Medrano
BUL,Hooker,Schalk Brits
CRU,Lock,Scott Barrett
RED,Number 8,Scott Higginbotham
BLU,Lock,Scott Scrafton
BRU,Loosehead Prop,Scott Sio
STO,Back,Seabelo Senatla
CHI,Wing,Sean Wainui
JAG,Wing,Sebastian Cancelliere
HIG,Loosehead Prop,Sef Fa'agase
RED,Wing,Sefanaia Naivalu
WAR,Tighthead Prop,Sekope Kepu
SUN,Wing,Semisi Masirewa
REB,Wing,Semisi Tupou
STO,Wing,Sergeal Petersen
CRU,Wing,Sevu Reece
SUN,Centre,Shane Gates
HIG,Flank,Shannon Frizell
LIO,Flyhalf,Shaun Reynolds
CHI,Fullback,Shaun Stevenson
SUN,Hooker,Shota Horie
SUN,Flank,Shuhei Matsuhashi
HIG,Tighthead Prop,Siate Tokolahi
SHA,Wing,Sibusiso Nkosi
STO,Number 8,Sikhumbuzo Notshe
WAR,Hooker,Silatolu Latu
BUL,Loosehead Prop,Simphiwe Matanzima
HIG,Centre,Sio Tomkinson
BLU,Tighthead Prop,Sione Mafileo
SUN,Centre,Sione Teaupa
REB,Centre,Sione Tuipulotu
LIO,Loosehead Prop,Sithembiso Sithole
STO,Flank,Siya Kolisi
STO,Hooker,Siyabonga Ntubeni
CHI,Wing,Solomon Alaimalo
BLU,Centre,Sonny Bill Williams
CHI,Tighthead Prop,Sosefo Kautai
STO,Wing,SP Marais
LIO,Lock,Stephan Lewies
CHI,Back,Stephen Donald
STO,Loosehead Prop,Steven Kitshoff
REB,Back,Stuart Dunbar
LIO,Wing,Sylvian Mahuza
SUN,Tighthead Prop,Takuma Asahara
