Team,Score,Metres carried,Carries,Defenders beaten,Clean breaks,Offloads,Turnovers conceded,Missed tackles,Turnovers won,Conversions missed,Penalty goals,Penalty goals missed,Drop goals,Drop goals missed,Rucks won %,Mauls won,Lineouts won,Lineouts lost,Lineouts won %,Scrums won,Scrums lost,Scrums won %,Penalties conceded,Red cards,Yellow cards,Possession,Tries,Passes,Tackles,Kicks in play,Conversions,Rucks won,Rucks lost,Match_ID
BUL,19,211,77,14,6,6,16,19,5,0,4,0,0,1,40%,3,11,0,46%,7,1,54%,11,1,0,0.42,1,94,127,22,1,54,1,sharks-bulls-jonsson-kings-park-30032019
JAG,27,337,106,9,4,7,16,20,2,0,2,0,0,0,41%,5,8,2,36%,8,0,50%,9,0,1,0.41,3,156,140,18,3,75,3,jaguares-chiefs-estadio-jose-amalfitani-30032019
CHI,30,351,141,20,10,15,11,9,4,0,3,0,0,0,57%,2,12,2,55%,8,0,50%,10,0,0,0.59,3,193,118,19,3,103,3,jaguares-chiefs-estadio-jose-amalfitani-30032019
HIG,28,496,141,21,14,15,15,25,7,0,0,0,0,0,56%,6,11,0,58%,5,2,36%,6,0,0,0.57,4,146,99,25,4,84,3,highlanders-hurricanes-forsyth-barr-stadium-05042019
HUR,31,595,98,25,15,7,13,21,8,0,1,0,0,1,41%,0,3,5,16%,8,1,57%,11,0,1,0.43,4,96,139,22,4,61,5,highlanders-hurricanes-forsyth-barr-stadium-05042019
RED,24,495,128,38,19,13,14,20,5,0,1,0,0,0,64%,1,14,0,52%,12,0,55%,8,0,0,0.62,3,165,77,18,3,87,4,reds-stormers-suncorp-stadium-05042019
STO,12,325,84,20,8,6,18,38,8,1,0,0,0,0,36%,3,12,1,44%,10,0,45%,11,0,1,0.38,2,114,127,14,1,49,0,reds-stormers-suncorp-stadium-05042019
LIO,5,322,79,16,6,6,21,36,7,1,0,0,0,0,38%,1,9,0,43%,8,0,47%,11,0,1,0.40,1,106,150,13,0,54,4,lions-sharks-emirates-airlines-park-05042019
SHA,42,645,150,36,17,20,12,16,10,3,2,1,0,1,60%,7,12,0,57%,9,0,53%,5,0,0,0.60,6,188,94,17,3,87,3,lions-sharks-emirates-airlines-park-05042019
CRU,36,638,142,36,16,10,19,11,9,1,1,0,0,0,51%,2,8,1,36%,5,0,42%,9,0,1,0.51,5,209,141,16,4,90,5,crusaders-brumbies-christchurch-stadium-06042019
BRU,14,341,107,11,8,6,15,36,11,0,0,0,0,0,46%,3,12,2,55%,6,1,50%,9,0,2,0.49,2,130,157,19,2,81,4,crusaders-brumbies-christchurch-stadium-06042019
BLU,32,306,125,20,4,10,10,17,5,1,2,0,0,0,55%,2,12,3,48%,3,0,43%,7,0,0,0.54,4,137,115,23,3,97,2,blues-nsw-waratahs-eden-park-06042019
WAR,29,339,116,17,11,8,16,20,3,1,1,0,0,0,43%,4,13,0,52%,4,0,57%,7,0,0,0.46,4,147,137,24,3,76,2,blues-nsw-waratahs-eden-park-06042019
